Seed,Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
52,Fashion,general,3Share-DM (3-party),SUCCESS,5000,5000,1,0.861,0.0,,,0.0,0.0019096599999999999,0.0,,,523653.4252170544,127.105712890625,0.7764434814453125,66.42657433295683,33.57342566704317,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
52,Fashion,general,SecureNN (3PC),SUCCESS,5000,64,1,0.8552,0.0,,,0.005800000000000027,0.412103125,0.0,,,2426.577085529259,48.5,0.7764434814453125,65.91285162713734,34.08714837286266,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
52,Fashion,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
52,Fashion,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
52,Medical,medical,2Cloud-D (Data-only),SUCCESS,114,114,1,0.9385964912280702,0.0,,,0.0,0.016719298245614033,0.0,,,59811.12277019938,0.085235595703125,0.0,45.562411010915994,54.437588989084006,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
52,Medical,medical,ASS (Ours),SUCCESS,114,114,1,0.9385964912280702,0.0,,,0.0,0.018305263157894738,0.0,,,54629.09718228867,0.116546630859375,0.00202178955078125,53.99960301707027,46.00039698292973,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
52,Medical,medical,3Share-DM (3-party),SUCCESS,114,114,1,0.9385964912280702,0.0,,,0.0,0.026182456140350877,0.0,,,38193.5138032699,0.25048828125,0.0040435791015625,67.99784456951264,32.00215543048737,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
52,Medical,medical,SecureNN (3PC),SUCCESS,114,64,1,0.9385964912280702,0.0,,,0.0,0.0283546875,0.0,,,35267.5373339946,12.0,0.0040435791015625,54.5659858601728,45.434014139827184,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
52,Medical,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
52,Medical,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
52,Wine,general,2Cloud-D (Data-only),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.04890833333333333,0.0,,,20446.413358323396,0.022796630859375,0.0,41.48255813953488,58.51744186046511,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
52,Wine,general,ASS (Ours),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.05321388888888889,0.0,,,18792.08644359764,0.033233642578125,0.001049041748046875,55.13145873515379,44.86854126484621,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
52,Wine,general,3Share-DM (3-party),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.07188888888888889,0.0,,,13910.355486862441,0.072509765625,0.00209808349609375,64.82485710098197,35.17514289901803,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
52,Wine,general,SecureNN (3PC),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.03947777777777778,0.0,,,25330.70644525753,5.0,0.00209808349609375,56.93279599172203,43.06720400827796,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
52,Wine,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
52,Wine,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
52,Diabetes,medical,2Cloud-D (Data-only),SUCCESS,89,89,1,0.7303370786516854,0.0,,,0.0,0.0195,0.0,,,51282.05128205128,0.0529632568359375,0.0,41.27105666156202,58.728943338437986,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
52,Diabetes,medical,ASS (Ours),SUCCESS,89,89,1,0.7303370786516854,0.0,,,0.0,0.023147191011235958,0.0,,,43201.78632105237,0.0774078369140625,0.00080108642578125,56.1322605965463,43.86773940345369,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
